iter	Passed	Remaining
622	14953	57053
623	14957	56953
624	14962	56857
625	14967	56760
626	14971	56663
627	14975	56565
628	14980	56468
629	14984	56371
630	14988	56273
631	14994	56180
632	14998	56084
633	15002	55987
634	15006	55891
635	15011	55799
636	15016	55705
637	15020	55610
638	15024	55514
639	15029	55421
640	15033	55327
641	15037	55232
642	15042	55138
643	15046	55045
644	15050	54952
645	15054	54859
646	15059	54768
647	15064	54679
648	15069	54587
649	15073	54496
650	15078	54406
651	15082	54315
652	15086	54223
653	15091	54134
654	15096	54046
655	15100	53955
656	15104	53865
657	15109	53777
658	15113	53689
659	15118	53601
660	15122	53512
661	15126	53423
662	15131	53336
663	15135	53247
664	15139	53158
665	15144	53072
666	15148	52985
667	15153	52899
668	15157	52813
669	15162	52727
670	15166	52643
671	15171	52558
672	15176	52473
673	15180	52389
674	15184	52303
675	15189	52219
676	15193	52135
677	15198	52050
678	15203	51967
679	15207	51884
680	15212	51803
681	15216	51719
682	15221	51635
683	15225	51552
684	15230	51473
685	15235	51391
686	15239	51308
687	15244	51227
688	15249	51147
689	15253	51065
690	15257	50984
691	15263	50906
692	15267	50825
693	15271	50744
694	15275	50662
695	15280	50582
696	15284	50501
697	15289	50423
698	15293	50344
699	15297	50264
700	15302	50185
701	15307	50108
702	15312	50033
703	15317	49955
704	15321	49877
705	15326	49799
706	15330	49720
707	15334	49642
708	15338	49564
709	15343	49487
710	15348	49411
711	15352	49334
712	15356	49258
713	15362	49184
714	15366	49108
715	15370	49032
716	15374	48955
717	15379	48879
718	15383	48803
719	15388	48729
720	15392	48655
721	15397	48580
722	15401	48505
723	15407	48434
724	15411	48361
725	15416	48288
726	15420	48213
727	15425	48141
728	15429	48067
729	15434	47993
730	15438	47919
731	15443	47848
732	15447	47776
733	15452	47703
734	15456	47631
735	15461	47561
736	15466	47490
737	15470	47417
738	15474	47345
739	15479	47274
740	15483	47202
741	15488	47132
742	15492	47062
743	15497	46991
744	15501	46919
745	15505	46849
746	15510	46780
747	15515	46712
748	15519	46641
749	15523	46571
750	15528	46502
751	15532	46432
752	15536	46362
753	15541	46294
754	15546	46226
755	15550	46157
756	15554	46089
757	15559	46023
758	15564	45955
759	15568	45887
760	15573	45818
761	15577	45750
762	15581	45681
763	15585	45615
764	15590	45548
765	15594	45480
766	15598	45413
767	15603	45347
768	15607	45280
769	15612	45214
770	15616	45148
771	15620	45082
772	15625	45016
773	15629	44950
774	15634	44885
775	15638	44820
776	15643	44755
777	15647	44691
778	15652	44627
779	15657	44562
780	15661	44498
781	15666	44434
782	15670	44369
783	15674	44305
784	15678	44240
785	15683	44176
786	15688	44114
787	15692	44050
788	15696	43987
789	15701	43923
790	15706	43861
791	15710	43799
792	15714	43736
793	15719	43675
794	15724	43613
795	15728	43550
796	15733	43488
797	15738	43428
798	15742	43367
799	15747	43305
800	15752	43244
801	15756	43184
802	15761	43123
803	15765	43062
804	15770	43000
805	15774	42938
806	15778	42877
807	15782	42816
808	15787	42757
809	15791	42696
810	15796	42635
811	15800	42575
812	15805	42517
813	15810	42458
814	15814	42397
815	15818	42338
816	15823	42279
817	15827	42220
818	15832	42160
819	15836	42102
820	15840	42042
821	15845	41983
822	15849	41925
823	15854	41869
824	15859	41811
825	15864	41754
826	15868	41695
827	15872	41636
828	15876	41578
829	15881	41520
830	15885	41464
831	15890	41405
832	15895	41350
833	15899	41293
834	15904	41237
835	15909	41180
836	15913	41124
837	15917	41066
838	15922	41010
839	15926	40955
840	15931	40898
841	15935	40842
842	15940	40786
843	15945	40731
844	15949	40676
845	15954	40621
846	15958	40565
847	15963	40510
848	15967	40455
849	15971	40399
850	15976	40343
851	15980	40288
852	15985	40235
853	15989	40180
854	15994	40126
855	15999	40072
856	16003	40018
857	16008	39964
858	16012	39910
859	16016	39855
860	16021	39801
861	16025	39747
862	16029	39693
863	16034	39641
864	16039	39588
865	16043	39535
866	16048	39482
867	16053	39430
868	16057	39377
869	16062	39325
870	16066	39272
871	16071	39220
872	16076	39168
873	16080	39116
874	16085	39064
875	16089	39012
876	16094	38959
877	16098	38908
878	16103	38857
879	16108	38806
880	16112	38754
881	16116	38702
882	16121	38651
883	16125	38598
884	16129	38547
885	16134	38496
886	16138	38444
887	16143	38395
888	16148	38345
889	16153	38295
890	16158	38246
891	16162	38195
892	16166	38144
893	16171	38094
894	16175	38043
895	16179	37993
896	16184	37944
897	16189	37894
898	16193	37843
899	16197	37794
900	16202	37745
901	16206	37696
902	16211	37646
903	16215	37596
904	16219	37547
905	16224	37498
906	16228	37447
907	16232	37398
908	16236	37349
909	16241	37300
910	16246	37254
911	16250	37206
912	16256	37159
913	16260	37111
914	16265	37063
915	16269	37014
916	16273	36965
917	16277	36917
918	16282	36870
919	16286	36822
920	16290	36773
921	16295	36725
922	16300	36680
923	16305	36633
924	16309	36586
925	16314	36539
926	16318	36493
927	16323	36446
928	16327	36399
929	16332	36352
930	16336	36305
931	16341	36259
932	16346	36213
933	16350	36167
934	16355	36121
935	16360	36076
936	16364	36029
937	16368	35982
938	16372	35936
939	16377	35890
940	16382	35845
